,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
571,18 May 2024,793,,2024-12-18
572,19 May 2024,761,,2024-12-18
573,20 May 2024,737,,2024-12-18
574,21 May 2024,786,,2024-12-18
575,22 May 2024,849,,2024-12-18
576,23 May 2024,820,,2024-12-18
577,24 May 2024,776,,2024-12-18
578,25 May 2024,787,,2024-12-18
579,26 May 2024,745,,2024-12-18
580,27 May 2024,792,Roll-out of release: Started roll-out of 74 (1.8.0) at 20%. Roll-out of release: Increased roll-out of 74 (1.8.0) to 100%.,2024-12-18
581,28 May 2024,713,,2024-12-18
582,29 May 2024,721,Roll-out of release: Started roll-out of 75 (1.8.0) at 100%.,2024-12-18
583,30 May 2024,730,,2024-12-18
584,31 May 2024,776,Roll-out of release: Started roll-out of 76 (1.8.0) at 100%.,2024-12-18
585,1 Jun 2024,798,,2024-12-18
586,2 Jun 2024,829,,2024-12-18
587,3 Jun 2024,761,,2024-12-18
588,4 Jun 2024,766,,2024-12-18
589,5 Jun 2024,816,,2024-12-18
590,6 Jun 2024,772,,2024-12-18
591,7 Jun 2024,903,,2024-12-18
592,8 Jun 2024,958,,2024-12-18
593,9 Jun 2024,904,Roll-out of release: Started roll-out of 77 (1.8.1) at 20%. Roll-out of release: Increased roll-out of 77 (1.8.1) to 100%.,2024-12-18
594,10 Jun 2024,852,,2024-12-18
595,11 Jun 2024,791,,2024-12-18
596,12 Jun 2024,799,,2024-12-18
597,13 Jun 2024,807,,2024-12-18
598,14 Jun 2024,804,,2024-12-18
599,15 Jun 2024,821,,2024-12-18
600,16 Jun 2024,808,,2024-12-18
601,17 Jun 2024,830,,2024-12-18
602,18 Jun 2024,876,,2024-12-18
603,19 Jun 2024,819,,2024-12-18
604,20 Jun 2024,810,,2024-12-18
605,21 Jun 2024,798,,2024-12-18
606,22 Jun 2024,844,,2024-12-18
607,23 Jun 2024,793,,2024-12-18
608,24 Jun 2024,796,,2024-12-18
609,25 Jun 2024,815,Roll-out of release: Started roll-out of 78 (1.8.2) at 100%.,2024-12-18
610,26 Jun 2024,681,,2024-12-18
611,27 Jun 2024,738,,2024-12-18
612,28 Jun 2024,712,,2024-12-18
613,29 Jun 2024,735,,2024-12-18
614,30 Jun 2024,746,,2024-12-18
615,1 Jul 2024,774,,2024-12-18
616,2 Jul 2024,755,,2024-12-18
617,3 Jul 2024,769,,2024-12-18
618,4 Jul 2024,730,,2024-12-18
619,5 Jul 2024,736,,2024-12-18
620,6 Jul 2024,755,,2024-12-18
621,7 Jul 2024,696,,2024-12-18
622,8 Jul 2024,424,Roll-out of release: Started roll-out of 79 (1.8.3) at 20%. Roll-out of release: Increased roll-out of 79 (1.8.3) to 100%.,2024-12-18
623,9 Jul 2024,926,,2024-12-18
624,10 Jul 2024,745,,2024-12-18
625,11 Jul 2024,743,,2024-12-18
626,12 Jul 2024,727,,2024-12-18
627,13 Jul 2024,744,,2024-12-18
628,14 Jul 2024,691,,2024-12-18
629,15 Jul 2024,701,,2024-12-18
630,16 Jul 2024,716,,2024-12-18
631,17 Jul 2024,669,,2024-12-18
632,18 Jul 2024,770,,2024-12-18
633,19 Jul 2024,698,,2024-12-18
634,20 Jul 2024,754,,2024-12-18
635,21 Jul 2024,702,,2024-12-18
636,22 Jul 2024,716,,2024-12-18
637,23 Jul 2024,748,,2024-12-18
638,24 Jul 2024,693,,2024-12-18
639,25 Jul 2024,704,,2024-12-18
640,26 Jul 2024,712,,2024-12-18
641,27 Jul 2024,694,,2024-12-18
642,28 Jul 2024,653,,2024-12-18
643,29 Jul 2024,689,,2024-12-18
644,30 Jul 2024,701,,2024-12-18
645,31 Jul 2024,761,,2024-12-18
646,1 Aug 2024,696,,2024-12-18
647,2 Aug 2024,722,,2024-12-18
648,3 Aug 2024,798,,2024-12-18
649,4 Aug 2024,694,,2024-12-18
650,5 Aug 2024,688,,2024-12-18
651,6 Aug 2024,657,,2024-12-18
652,7 Aug 2024,677,,2024-12-18
653,8 Aug 2024,374,,2024-12-18
654,9 Aug 2024,47,,2024-12-18
655,10 Aug 2024,31,,2024-12-18
656,11 Aug 2024,25,,2024-12-18
657,12 Aug 2024,33,,2024-12-18
658,13 Aug 2024,39,,2024-12-18
659,14 Aug 2024,42,,2024-12-18
660,15 Aug 2024,49,Roll-out of release: Started roll-out of 80 (1.9.0) at 100%.,2024-12-18
661,16 Aug 2024,72,,2024-12-18
662,17 Aug 2024,224,,2024-12-18
663,18 Aug 2024,290,,2024-12-18
664,19 Aug 2024,255,,2024-12-18
665,20 Aug 2024,247,,2024-12-18
666,21 Aug 2024,283,,2024-12-18
667,22 Aug 2024,305,,2024-12-18
668,23 Aug 2024,357,,2024-12-18
669,24 Aug 2024,395,,2024-12-18
670,25 Aug 2024,343,,2024-12-18
671,26 Aug 2024,324,,2024-12-18
672,27 Aug 2024,349,,2024-12-18
673,28 Aug 2024,328,,2024-12-18
674,29 Aug 2024,336,,2024-12-18
675,30 Aug 2024,350,,2024-12-18
676,31 Aug 2024,314,,2024-12-18
677,1 Sept 2024,779,,2024-12-18
678,2 Sept 2024,705,,2024-12-18
679,3 Sept 2024,615,,2024-12-18
680,4 Sept 2024,581,,2024-12-18
681,5 Sept 2024,625,,2024-12-18
682,6 Sept 2024,649,,2024-12-18
683,7 Sept 2024,658,,2024-12-18
684,8 Sept 2024,614,,2024-12-18
685,9 Sept 2024,739,,2024-12-18
686,10 Sept 2024,639,,2024-12-18
687,11 Sept 2024,663,,2024-12-18
688,12 Sept 2024,702,Roll-out of release: Started roll-out of 81 (1.9.1) at 100%.,2024-12-18
689,13 Sept 2024,668,,2024-12-18
690,14 Sept 2024,633,,2024-12-18
691,15 Sept 2024,642,,2024-12-18
692,16 Sept 2024,591,,2024-12-18
693,17 Sept 2024,557,,2024-12-18
694,18 Sept 2024,646,,2024-12-18
695,19 Sept 2024,777,,2024-12-18
696,20 Sept 2024,617,,2024-12-18
697,21 Sept 2024,647,,2024-12-18
698,22 Sept 2024,607,,2024-12-18
699,23 Sept 2024,563,,2024-12-18
700,24 Sept 2024,586,,2024-12-18
701,25 Sept 2024,612,,2024-12-18
702,26 Sept 2024,549,,2024-12-18
703,27 Sept 2024,534,,2024-12-18
704,28 Sept 2024,516,,2024-12-18
705,29 Sept 2024,600,,2024-12-18
706,30 Sept 2024,524,,2024-12-18
707,1 Oct 2024,608,Roll-out of release: Started roll-out of 83 (1.9.2) at 100%.,2024-12-18
708,2 Oct 2024,619,,2024-12-18
709,3 Oct 2024,561,,2024-12-18
710,4 Oct 2024,619,,2024-12-18
711,5 Oct 2024,627,,2024-12-18
712,6 Oct 2024,560,,2024-12-18
713,7 Oct 2024,572,,2024-12-18
714,8 Oct 2024,643,,2024-12-18
715,9 Oct 2024,619,,2024-12-18
716,10 Oct 2024,604,,2024-12-18
717,11 Oct 2024,541,,2024-12-18
718,12 Oct 2024,761,,2024-12-18
719,13 Oct 2024,679,,2024-12-18
720,14 Oct 2024,757,,2024-12-18
721,15 Oct 2024,718,,2024-12-18
722,16 Oct 2024,709,,2024-12-18
723,17 Oct 2024,703,,2024-12-18
724,18 Oct 2024,732,,2024-12-18
725,19 Oct 2024,773,,2024-12-18
726,20 Oct 2024,723,,2024-12-18
727,21 Oct 2024,663,,2024-12-18
728,22 Oct 2024,707,,2024-12-18
729,23 Oct 2024,666,,2024-12-18
730,24 Oct 2024,679,,2024-12-18
731,25 Oct 2024,636,,2024-12-18
732,26 Oct 2024,565,,2024-12-18
733,27 Oct 2024,498,,2024-12-18
734,28 Oct 2024,543,Roll-out of release: Started roll-out of 84 (1.10.1) at 100%.,2024-12-18
735,29 Oct 2024,526,Roll-out of release: Started roll-out of 85 (1.10.1) at 20%. Roll-out of release: Increased roll-out of 85 (1.10.1) to 100%.,2024-12-18
736,30 Oct 2024,570,,2024-12-18
737,31 Oct 2024,770,,2024-12-18
738,1 Nov 2024,635,,2024-12-18
739,2 Nov 2024,789,,2024-12-18
740,3 Nov 2024,810,,2024-12-18
741,4 Nov 2024,785,,2024-12-18
742,5 Nov 2024,770,,2024-12-18
743,6 Nov 2024,732,,2024-12-18
744,7 Nov 2024,723,,2024-12-18
745,8 Nov 2024,662,,2024-12-18
746,9 Nov 2024,756,,2024-12-18
747,10 Nov 2024,696,,2024-12-18
748,11 Nov 2024,629,,2024-12-18
749,12 Nov 2024,636,,2024-12-18
750,13 Nov 2024,742,,2024-12-18
751,14 Nov 2024,674,,2024-12-18
752,15 Nov 2024,731,,2024-12-18
753,16 Nov 2024,665,,2024-12-18
754,17 Nov 2024,591,,2024-12-18
755,18 Nov 2024,115,,2024-12-18
756,19 Nov 2024,88,,2024-12-18
757,20 Nov 2024,72,,2024-12-18
758,21 Nov 2024,69,,2024-12-18
759,22 Nov 2024,68,,2024-12-18
760,23 Nov 2024,63,,2024-12-18
761,24 Nov 2024,57,,2024-12-18
762,25 Nov 2024,36,,2024-12-18
763,26 Nov 2024,55,,2024-12-18
764,27 Nov 2024,64,,2024-12-18
765,28 Nov 2024,45,,2024-12-18
766,29 Nov 2024,51,,2024-12-18
767,30 Nov 2024,39,,2024-12-18
768,1 Dec 2024,54,,2024-12-18
769,2 Dec 2024,44,,2024-12-18
770,3 Dec 2024,37,,2024-12-18
771,4 Dec 2024,50,,2024-12-18
772,5 Dec 2024,57,,2024-12-18
773,6 Dec 2024,53,,2024-12-18
774,7 Dec 2024,51,,2024-12-18
775,8 Dec 2024,82,,2024-12-18
776,9 Dec 2024,245,,2024-12-18
777,10 Dec 2024,265,,2024-12-18
778,11 Dec 2024,291,,2024-12-18
779,12 Dec 2024,293,,2024-12-18
780,13 Dec 2024,264,,2024-12-18
781,14 Dec 2024,350,,2024-12-18
782,15 Dec 2024,313,,2024-12-18
783,16 Dec 2024,347,,2024-12-18
784,17 Dec 2024,194,,2024-12-18
