,Category,Keywords,Search Vol,Backlinks,19-3-2023,26-3-2023,2-4-2023,9-4-2023,16-4-2023,23-4-2023,30-4-2023,7-5-2023,14-5-2023,21-5-2023,28-5-2023,4-6-2023,11-6-2023,18-6-2023,25-6-2023,2-7-2023,9-7-2023,16-7-2023,23-7-2023,30-7-2023,6-8-2023,13-8-2023,20-8-2023,27-8-2023,3-9-2023,10-9-2023,17-9-2023,24-9-2023,1-10-2023,8-10-2023,15-10-2023,22-10-2023,29-10-2023,5-11-2023,12-11-2023,19-11-2023,26-11-2023,3-12-2023,10-12-2023,17-12-2023,24-12-2023,31-12-2023,7-1-2024,14-1-2024,21-1-2024,28-1-2024,4-2-2024,11-2-2024,18-2-2024,25-2-2024,3-3-2024,10-3-2024,17-3-2024,24-3-2024,31-3-2024,7-4-2024,14-4-2024,21-4-2024,28-4-2024,5-5-2024,12-5-2024,19-5-2024,26-5-2024,2-6-2024,9-6-2024,16-6-2024,23-6-2024,30-6-2024,7-7-2024,14-7-2024,21-7-2024,28-7-2024,4-8-2024,11-8-2024,18-8-2024,25-8-2024,1-9-2024,8-9-2024,15-9-2024,22-9-2024,29-9-2024,6-10-2024,13-10-2024,20-10-2024,27-10-2024,3-11-2024,10-11-2024,17-11-2024,24-11-2024,1-12-2024,8-12-2024,Landing Page,pull_date
48,action,contoh novel action,20,,-,-,-,,,,,-,13,-,8,5,6,8,8,9,12,10,6,13,8,7,10,10,16,10,9,10,7,6,6,6,6,4,3,3,3,1,75,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_action,2024-12-18
49,action,novel action fantasy terbaik,10,,-,-,-,,,,,-,19,25,-,-,25,36,34,28,29,30,28,36,32,31,29,27,29,33,34,28,28,22,22,26,22,21,20,19,16,16,15,13,18,14,15,12,12,11,10,11,11,11,10,10,8,10,5,7,6,8,7,10,6,8,8,9,8,7,6,7,9,7,8,8,7,10,6,6,6,5,5,5,6,5,5,7,5,5,7,5,5,5,5,https://gooddreamer.id/novel_fantasi,2024-12-18
50,teen fiction,novel fiksi remaja,590,Blogger Jul 2 (7),-,-,-,,,,,-,-,-,-,-,19,18,17,27,23,22,16,16,23,11,11,13,9,16,10,10,10,18,23,23,22,21,15,17,18,18,18,17,16,11,19,23,23,23,21,20,21,23,19,20,17,16,17,18,15,18,18,18,17,17,16,15,16,17,13,14,14,16,14,22,13,14,13,12,13,13,13,16,15,14,16,18,17,16,20,16,18,18,20,https://gooddreamer.id/novel_fiksi_remaja,2024-12-18
51,teen fiction,buku novel fiksi remaja,110,,-,-,-,,,,,-,-,-,-,-,21,21,18,27,26,24,-,20,21,19,19,17,19,19,20,17,21,15,17,18,16,15,16,16,17,23,17,22,16,19,15,15,22,22,23,21,19,16,19,21,25,20,18,20,20,19,19,19,19,20,18,19,17,17,14,19,18,17,17,16,16,14,14,13,14,13,14,15,13,13,13,16,14,15,18,15,14,16,20,https://gooddreamer.id/novel_fiksi_remaja,2024-12-18
52,teen fiction,novel fiksi remaja best seller,70,,-,-,-,,,,,14,15,14,16,-,18,16,16,15,16,18,16,14,22,15,14,14,14,19,18,17,17,15,18,15,14,15,16,16,14,18,18,20,13,15,18,17,18,18,17,18,19,17,18,16,17,18,15,18,19,18,16,18,18,18,16,17,15,17,15,15,17,14,14,15,26,14,20,16,17,14,14,14,15,13,14,17,14,15,18,16,15,17,18,https://gooddreamer.id/novel_fiksi_remaja,2024-12-18
53,teen fiction,buku fiksi remaja,140,,-,-,-,,,,,-,-,-,-,-,25,27,26,30,29,32,24,24,31,27,19,19,20,27,25,23,-,21,25,24,21,20,20,22,21,25,23,19,15,21,22,16,24,23,26,21,23,22,24,24,23,18,17,22,21,19,21,19,20,23,18,17,16,18,16,18,18,16,19,18,17,17,15,14,15,14,17,14,13,16,13,19,15,16,21,17,14,19,22,https://gooddreamer.id/novel_fiksi_remaja,2024-12-18
54,teen fiction,contoh novel fiksi remaja,50,,-,-,-,,,,,-,-,-,-,-,13,15,14,-,17,17,13,12,13,13,13,12,13,12,13,12,12,11,11,12,11,11,11,11,11,11,10,11,11,9,9,10,10,10,11,10,10,7,9,11,12,14,14,14,13,16,15,14,13,12,15,12,13,20,20,20,20,19,15,16,17,18,16,15,17,17,17,19,18,18,16,23,20,19,21,18,11,18,19,https://gooddreamer.id/novel_fiksi_remaja,2024-12-18
55,comedy,novel komedi,720,"Blogger Mei (6), Blogger Des (6), Media Jan (4)",-,-,-,,,,,-,40,30,26,14,12,11,14,87,15,55,10,13,13,8,9,12,14,11,9,9,47,48,49,29,29,25,25,31,32,12,10,12,11,12,12,11,11,8,8,8,9,9,7,8,6,7,4,7,5,6,4,4,5,4,6,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,https://gooddreamer.id/novel_komedi,2024-12-18
56,comedy,novel komedi online,10,,-,-,-,,,,,-,8,6,5,4,5,4,3,4,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_komedi,2024-12-18
57,comedy,baca novel komedi,10,,-,-,-,,,,,-,8,8,7,7,7,7,5,5,6,5,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,2,2,2,2,2,1,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_komedi,2024-12-18
58,comedy,contoh novel komedi,140,,-,-,-,,,,,-,-,-,-,16,-,13,13,13,16,17,17,14,19,20,14,17,22,21,20,14,15,18,16,15,11,11,8,13,14,12,8,7,8,12,9,9,9,10,10,11,11,9,8,8,8,9,10,11,11,11,11,10,11,11,15,11,11,8,8,9,9,10,12,7,10,9,6,7,9,7,7,9,9,8,7,8,7,8,8,8,7,7,7,https://gooddreamer.id/novel_komedi,2024-12-18
59,comedy,novel lucu,720,Blogger Juni (6),-,-,-,,,,,36,48,33,34,27,21,27,12,11,9,12,10,10,7,9,8,8,8,6,6,6,7,8,6,7,6,5,6,5,5,5,4,5,5,4,4,5,5,5,5,5,34,5,9,5,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,5,4,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,https://gooddreamer.id/novel_komedi,2024-12-18
60,comedy,baca novel lucu,20,,-,-,-,,,,,-,13,15,11,-,11,9,8,8,8,8,8,8,8,8,9,9,8,7,7,6,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_komedi,2024-12-18
61,comedy,cerita novel lucu,50,,-,-,-,,,,,-,27,26,22,21,21,21,20,18,14,15,10,11,13,14,12,14,13,11,8,8,8,6,6,5,6,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://gooddreamer.id/novel_komedi,2024-12-18
62,religi,novel religi,260,,-,-,-,,,,,-,-,-,43,60,54,69,47,41,45,45,51,51,58,65,66,79,82,72,63,86,64,73,62,73,65,55,57,52,40,51,58,57,52,41,73,61,62,56,40,71,67,69,64,61,83,47,52,92,86,75,-,57,47,83,89,83,-,52,77,56,87,54,61,67,68,68,-,67,71,53,49,44,49,29,30,20,21,30,17,24,24,19,29,https://gooddreamer.id/novel_religi,2024-12-18
63,religi,novel religi online,10,,-,-,-,,,,,-,-,-,-,-,-,-,22,27,-,-,83,66,28,19,24,25,20,16,66,17,13,15,13,17,13,5,13,3,3,4,3,3,3,4,5,6,4,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,5,5,6,7,5,4,4,16,23,4,4,4,4,4,26,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,https://gooddreamer.id/novel_religi,2024-12-18
64,religi,novel religi best seller,30,,-,-,-,,,,,-,-,-,-,21,-,25,17,21,18,17,20,19,22,24,21,22,21,30,22,25,25,24,22,-,26,24,27,26,25,27,18,21,18,20,19,20,23,25,21,22,23,-,23,-,24,-,-,21,25,21,22,24,18,-,-,-,-,18,20,-,-,-,-,-,-,-,-,17,-,-,-,-,16,15,14,13,14,14,15,13,13,12,13,https://gooddreamer.id/novel_religi,2024-12-18
65,religi,novel religi terbaik,30,,-,-,-,,,,,-,-,-,-,-,30,-,24,22,23,24,-,23,26,25,21,22,24,26,24,24,26,24,24,24,26,25,24,29,25,28,27,34,27,30,35,27,26,32,31,33,35,34,32,31,32,20,33,32,33,34,32,35,44,41,32,32,29,28,26,23,27,29,31,29,27,35,27,27,26,26,26,26,24,12,12,10,9,21,22,10,9,13,9,https://gooddreamer.id/novel_religi,2024-12-18
66,religi,novel religi terbaru,50,,-,-,-,,,,,-,-,-,-,20,21,21,18,19,19,19,22,18,22,20,24,22,22,22,21,22,22,23,21,21,21,20,23,20,21,26,24,23,19,17,23,22,24,20,20,21,21,21,20,19,19,18,19,19,19,19,20,20,22,20,23,23,22,17,18,18,21,19,32,20,-,19,18,16,17,17,16,16,16,16,16,16,16,17,17,8,16,12,15,https://gooddreamer.id/novel_religi,2024-12-18
67,religi,baca novel religi,10,,-,-,-,,,,,11,-,-,-,-,-,12,11,18,13,13,12,11,9,14,13,13,14,12,13,12,14,12,11,11,14,11,6,6,6,7,10,11,11,7,11,12,11,11,11,12,9,9,10,7,7,6,6,7,6,7,7,6,6,8,11,10,8,7,7,7,7,8,7,8,7,5,5,5,5,6,5,4,3,5,4,5,3,3,5,3,4,5,5,https://gooddreamer.id/novel_religi,2024-12-18
68,religi,novel agama,170,,-,-,-,,,,,-,-,-,-,-,-,-,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,-,94,70,44,45,-,-,81,73,-,56,72,-,98,93,-,-,72,68,-,94,-,-,-,91,-,-,-,-,83,67,78,52,72,63,59,-,76,63,61,11,65,https://gooddreamer.id/novel_religi,2024-12-18
69,drama,novel drama,260,Media Des (2),-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,35,23,24,30,37,26,35,34,30,23,22,13,30,34,37,16,14,13,11,15,13,10,13,13,14,13,15,9,12,11,11,8,8,8,8,7,8,6,6,22,17,1,1,1,1,3,2,4,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_drama,2024-12-18
70,drama,baca novel drama,-,,-,-,-,,,,,-,-,6,-,-,6,7,8,9,9,8,3,6,4,5,4,6,4,2,3,3,4,5,4,4,4,2,3,3,3,2,2,3,3,2,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_drama,2024-12-18
71,drama,novel drama terbaru,10,,-,-,-,,,,,-,-,-,19,-,19,22,18,-,18,19,21,19,32,24,21,23,18,19,19,24,28,22,22,22,21,20,8,19,22,32,8,6,9,8,8,7,8,5,5,6,7,8,6,5,4,5,2,2,2,4,9,6,4,4,6,7,3,3,2,4,1,4,4,4,5,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_drama,2024-12-18
72,drama,cerita drama,"1,600",Blogger Agt (9),-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://gooddreamer.id/novel_drama,2024-12-18
73,drama,cerpen drama,170,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,35,-,-,-,-,39,-,31,32,https://gooddreamer.id/novel_drama,2024-12-18
74,adventure,novel petualangan,590,,-,-,-,,,,,-,-,64,56,54,40,44,46,43,55,47,48,43,78,60,56,76,72,76,74,-,-,-,-,-,-,-,-,-,-,-,-,47,31,35,30,29,32,32,32,33,28,30,33,31,34,28,29,30,29,32,-,-,-,-,-,-,-,43,40,38,39,32,28,-,49,36,-,40,-,-,-,36,41,31,29,27,-,43,34,-,35,-,-,https://gooddreamer.id/novel_petualangan,2024-12-18
75,adventure,novel adventure,110,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,40,39,34,37,32,33,30,24,34,44,62,35,37,32,28,34,https://gooddreamer.id/novel_petualangan,2024-12-18
76,adventure,novel tentang petualangan,90,,-,-,-,,,,,-,-,60,61,46,38,40,40,57,43,47,37,39,43,31,32,31,32,31,34,-,50,-,-,-,-,-,40,-,39,46,54,39,32,32,36,31,35,40,41,35,35,30,37,32,33,31,28,32,26,32,38,37,38,33,46,-,45,32,-,39,38,33,66,-,-,42,-,64,34,36,36,35,33,34,29,28,31,-,-,34,34,35,36,https://gooddreamer.id/novel_petualangan,2024-12-18
77,adventure,novel adventure terbaik,30,,-,-,-,,,,,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,23,20,19,-,-,-,-,-,44,-,22,21,45,43,43,18,32,14,14,-,25,-,10,16,32,30,29,28,26,19,27,27,27,36,32,30,29,28,34,27,25,25,8,15,https://gooddreamer.id/novel_action,2024-12-18
78,adventure,novel petualangan terbaik,90,,-,-,-,,,,,88,31,25,28,25,29,19,25,23,21,27,21,18,20,23,21,22,-,25,19,23,26,31,24,27,23,25,22,22,23,27,25,20,27,24,28,24,24,23,26,25,22,21,23,23,26,27,24,24,27,31,42,40,38,39,37,32,26,24,26,32,27,27,36,33,35,31,29,25,26,26,29,14,28,31,24,22,22,27,22,27,25,17,25,https://gooddreamer.id/novel_petualangan,2024-12-18
79,adventure,contoh novel petualangan,70,,-,-,-,,,,,-,17,19,16,22,18,18,18,17,15,14,17,16,15,12,16,16,16,16,16,27,23,25,35,27,20,16,16,18,15,17,16,15,13,14,13,16,13,23,21,16,16,12,11,18,17,33,32,35,30,37,53,45,52,43,32,42,26,34,30,58,40,32,35,37,44,42,35,38,35,33,31,28,29,28,24,24,23,25,17,20,21,21,21,https://gooddreamer.id/novel_petualangan,2024-12-18
80,family,novel keluarga,210,,-,-,-,,,,,-,-,-,15,16,18,19,16,16,13,12,8,8,10,10,9,19,20,20,18,18,10,8,9,6,7,6,4,4,3,3,3,3,3,3,3,3,3,4,5,5,5,4,6,6,8,7,7,7,7,5,6,7,8,7,6,5,3,3,3,3,3,4,3,3,4,2,2,3,4,4,3,4,4,4,4,4,4,4,3,5,4,6,4,https://gooddreamer.id/novel_keluarga,2024-12-18
81,family,novel tentang kehidupan keluarga,140,,-,-,-,,,,,-,33,23,8,9,10,9,8,8,8,8,7,6,6,6,6,8,7,7,7,7,7,7,6,6,5,4,5,4,4,4,4,4,4,3,4,3,3,6,7,7,1,7,7,7,7,6,4,4,6,6,6,6,6,5,5,6,5,5,5,5,5,5,5,5,1,5,5,4,4,4,1,4,1,4,4,4,4,4,4,5,5,5,6,https://gooddreamer.id/novel_keluarga,2024-12-18
82,family,contoh novel keluarga,70,,-,-,-,,,,,-,16,12,10,6,9,6,9,8,8,8,8,6,8,7,7,7,7,9,7,7,7,7,6,6,6,1,5,5,5,5,1,1,1,1,5,1,1,3,5,4,4,5,1,5,5,5,3,3,3,5,5,4,5,5,5,6,5,5,5,6,6,7,6,6,7,6,6,5,5,6,1,6,6,6,6,6,6,6,6,6,5,5,7,https://gooddreamer.id/novel_keluarga,2024-12-18
83,family,baca novel keluarga,-,,-,-,-,,,,,-,10,6,4,4,4,4,4,4,3,3,4,2,3,3,4,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_keluarga,2024-12-18
84,family,novel tentang keluarga,320,Blogger Sept (9),-,-,-,,,,,-,-,-,11,17,15,10,10,12,10,10,9,6,9,7,8,13,16,20,19,20,6,7,6,6,6,5,6,4,5,4,3,6,6,6,6,5,5,5,6,6,5,6,6,8,7,7,5,5,4,6,5,5,6,5,5,8,9,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,https://gooddreamer.id/novel_keluarga,2024-12-18
85,family,novel sedih tentang keluarga,210,,-,-,-,,,,,-,32,21,14,9,11,10,17,22,14,17,11,12,10,10,15,12,14,13,12,12,11,15,12,9,10,8,8,8,7,7,8,6,7,7,8,7,6,9,8,8,10,10,7,9,11,15,12,11,12,19,23,21,23,24,35,40,27,13,15,13,13,30,11,17,23,33,59,24,37,32,16,28,35,30,31,31,31,35,28,28,31,33,26,https://gooddreamer.id/novel_keluarga,2024-12-18
86,misteri,novel misteri,880,Blogger Agt (9),-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,39,33,41,31,35,38,80,14,20,24,45,34,33,29,34,18,18,8,8,8,7,6,5,4,7,4,3,7,3,6,4,4,4,6,5,4,1,9,8,7,8,5,5,5,5,7,4,4,4,4,4,4,4,4,6,5,6,6,12,10,14,17,10,14,58,30,27,57,23,21,7,11,69,https://gooddreamer.id/novel_misteri,2024-12-18
87,misteri,novel misteri online,10,,-,-,-,,,,,-,-,-,-,-,-,-,-,11,9,9,10,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,2,2,2,2,2,https://gooddreamer.id/novel_misteri,2024-12-18
88,misteri,baca novel misteri,20,,-,-,-,,,,,-,-,7,30,29,31,8,18,10,7,23,8,4,4,4,4,4,3,4,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,https://gooddreamer.id/novel_misteri,2024-12-18
89,misteri,novel misteri gratis,10,,-,-,-,,,,,-,-,24,25,13,18,9,8,9,-,6,9,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,https://gooddreamer.id/novel_misteri,2024-12-18
90,misteri,novel misteri terbaik,260,,-,-,-,,,,,-,-,30,-,-,-,-,-,-,30,21,26,26,-,30,19,17,15,21,17,16,22,13,16,15,22,14,15,20,18,6,17,18,3,3,3,3,3,4,4,11,4,6,13,4,3,13,8,7,19,10,18,19,22,18,14,16,4,4,4,11,14,5,7,5,14,13,14,11,21,20,26,20,12,9,17,39,15,15,22,16,13,10,11,https://gooddreamer.id/novel_misteri,2024-12-18
91,misteri,rekomendasi novel misteri,210,,-,-,-,,,,,-,-,-,-,-,-,-,-,23,19,29,30,31,32,24,22,25,21,22,23,25,31,21,25,17,22,21,16,16,16,16,23,17,8,9,10,10,9,7,6,10,6,6,11,6,6,11,7,11,10,11,11,11,14,12,12,10,6,8,8,10,11,8,12,10,16,11,11,23,28,27,24,32,19,9,15,45,31,21,31,24,13,11,14,https://gooddreamer.id/novel_misteri,2024-12-18
92,sejarah,novel sejarah,"27,100",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,29,-,https://gooddreamer.id/novel_sejarah,2024-12-18
93,sejarah,baca novel sejarah,140,,-,-,-,,,,,-,-,-,-,-,84,-,94,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,22,23,19,20,16,6,3,2,2,3,2,2,2,2,1,2,2,2,2,1,1,1,1,https://gooddreamer.id/novel_sejarah,2024-12-18
94,sejarah,contoh novel sejarah,"8,100",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2024-12-18
95,sejarah,novel sejarah online,30,,-,-,-,,,,,65,-,-,-,-,-,-,55,52,54,-,55,25,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,-,12,59,15,12,15,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,https://gooddreamer.id/novel_sejarah,2024-12-18
96,sejarah,novel sejarah gratis,40,,-,-,-,,,,,82,-,-,-,-,-,-,82,92,91,-,74,55,79,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,78,-,98,81,-,51,-,-,-,-,-,6,7,12,6,24,5,4,4,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_sejarah,2024-12-18
97,sejarah,novel sejarah singkat,"4,400",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,38,35,-,40,37,34,36,35,-,-,18,14,14,https://gooddreamer.id/novel_sejarah,2024-12-18
98,sejarah,novel sejarah pribadi,"1,900",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://gooddreamer.id/,2024-12-18
99,sejarah,cerita novel sejarah,"1,600",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,27,-,-,-,25,21,-,https://gooddreamer.id/novel_sejarah,2024-12-18
100,sejarah,novel cerita sejarah,"1,000",,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,33,-,-,48,42,-,41,48,https://gooddreamer.id/novel_sejarah,2024-12-18
101,sejarah,novel sejarah best seller,170,,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,24,23,-,22,15,-,22,28,18,23,-,-,38,-,-,35,36,31,30,33,https://gooddreamer.id/novel_sejarah,2024-12-18
102,author,penulis novel,"1,000",Media Mar (3),,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,82,46,36,36,35,45,42,52,38,48,49,48,https://gooddreamer.id/blog/penulis-novel-indonesia,2024-12-18
103,author,penulis terbaik,50,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,62,59,59,60,55,69,67,48,36,68,69,65,54,76,77,65,80,86,93,81,-,96,86,98,-,-,93,65,-,79,-,-,-,-,-,85,83,95,52,67,71,59,74,78,72,87,81,-,68,69,80,82,77,90,83,72,73,35,44,45,28,32,37,31,28,https://gooddreamer.id/author,2024-12-18
104,author,pengarang novel,480,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,84,-,85,69,99,-,-,-,-,-,https://gooddreamer.id/blog/penulis-novel-indonesia,2024-12-18
105,author,dapat uang dari menulis,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,48,44,41,37,35,35,33,31,37,24,22,25,26,23,https://gooddreamer.id/blog/dapat-uang-dari-menulis,2024-12-18
106,author,penghasilan tambahan,"2,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2024-12-18
107,author,hobi menulis,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2024-12-18
