,Date,Total Downloads,pull_date
187,11/26/23,6,2024-12-18
188,11/27/23,8,2024-12-18
189,11/28/23,11,2024-12-18
190,11/29/23,3,2024-12-18
191,11/30/23,3,2024-12-18
192,12/1/23,8,2024-12-18
193,12/2/23,7,2024-12-18
194,12/3/23,7,2024-12-18
195,12/4/23,3,2024-12-18
196,12/5/23,9,2024-12-18
197,12/6/23,11,2024-12-18
198,12/7/23,5,2024-12-18
199,12/8/23,1,2024-12-18
200,12/9/23,6,2024-12-18
201,12/10/23,4,2024-12-18
202,12/11/23,5,2024-12-18
203,12/12/23,4,2024-12-18
204,12/13/23,4,2024-12-18
205,12/14/23,6,2024-12-18
206,12/15/23,7,2024-12-18
207,12/16/23,8,2024-12-18
208,12/17/23,6,2024-12-18
209,12/18/23,8,2024-12-18
210,12/19/23,3,2024-12-18
211,12/20/23,8,2024-12-18
212,12/21/23,6,2024-12-18
213,12/22/23,3,2024-12-18
214,12/23/23,10,2024-12-18
215,12/24/23,7,2024-12-18
216,12/25/23,6,2024-12-18
217,12/26/23,8,2024-12-18
218,12/27/23,5,2024-12-18
219,12/28/23,6,2024-12-18
220,12/29/23,6,2024-12-18
221,12/30/23,5,2024-12-18
222,12/31/23,3,2024-12-18
223,1/1/24,8,2024-12-18
224,1/2/24,8,2024-12-18
225,1/3/24,5,2024-12-18
226,1/4/24,4,2024-12-18
227,1/5/24,5,2024-12-18
228,1/6/24,8,2024-12-18
229,1/7/24,3,2024-12-18
230,1/8/24,8,2024-12-18
231,1/9/24,7,2024-12-18
232,1/10/24,8,2024-12-18
233,1/11/24,8,2024-12-18
234,1/12/24,6,2024-12-18
235,1/13/24,3,2024-12-18
236,1/14/24,2,2024-12-18
237,1/15/24,3,2024-12-18
238,1/16/24,2,2024-12-18
239,1/17/24,5,2024-12-18
240,1/18/24,6,2024-12-18
241,1/19/24,4,2024-12-18
242,1/20/24,2,2024-12-18
243,1/21/24,5,2024-12-18
244,1/22/24,9,2024-12-18
245,1/23/24,7,2024-12-18
246,1/24/24,4,2024-12-18
247,1/25/24,5,2024-12-18
248,1/26/24,8,2024-12-18
249,1/27/24,6,2024-12-18
250,1/28/24,4,2024-12-18
251,1/29/24,6,2024-12-18
252,1/30/24,7,2024-12-18
253,1/31/24,3,2024-12-18
254,2/1/24,10,2024-12-18
255,2/2/24,2,2024-12-18
256,2/3/24,4,2024-12-18
257,2/4/24,4,2024-12-18
258,2/5/24,8,2024-12-18
259,2/6/24,7,2024-12-18
260,2/7/24,12,2024-12-18
261,2/8/24,6,2024-12-18
262,2/9/24,6,2024-12-18
263,2/10/24,7,2024-12-18
264,2/11/24,2,2024-12-18
265,2/12/24,5,2024-12-18
266,2/13/24,5,2024-12-18
267,2/14/24,9,2024-12-18
268,2/15/24,6,2024-12-18
269,2/16/24,4,2024-12-18
270,2/17/24,6,2024-12-18
271,2/18/24,2,2024-12-18
272,2/19/24,10,2024-12-18
273,2/20/24,7,2024-12-18
274,2/21/24,8,2024-12-18
275,2/22/24,6,2024-12-18
276,2/23/24,8,2024-12-18
277,2/24/24,7,2024-12-18
278,2/25/24,4,2024-12-18
279,2/26/24,7,2024-12-18
280,2/27/24,5,2024-12-18
281,2/28/24,10,2024-12-18
282,2/29/24,6,2024-12-18
283,3/1/24,2,2024-12-18
284,3/2/24,5,2024-12-18
285,3/3/24,6,2024-12-18
286,3/4/24,9,2024-12-18
287,3/5/24,3,2024-12-18
288,3/6/24,4,2024-12-18
289,3/7/24,5,2024-12-18
290,3/8/24,6,2024-12-18
291,3/9/24,1,2024-12-18
292,3/10/24,5,2024-12-18
293,3/11/24,7,2024-12-18
294,3/12/24,7,2024-12-18
295,3/13/24,3,2024-12-18
296,3/14/24,1,2024-12-18
297,3/15/24,2,2024-12-18
298,3/16/24,6,2024-12-18
299,3/17/24,5,2024-12-18
300,3/18/24,6,2024-12-18
301,3/19/24,7,2024-12-18
302,3/20/24,2,2024-12-18
303,3/21/24,1,2024-12-18
304,3/22/24,2,2024-12-18
305,3/23/24,7,2024-12-18
306,3/24/24,9,2024-12-18
307,3/25/24,2,2024-12-18
308,3/26/24,7,2024-12-18
